GO	genes
glutamate receptor signaling pathway	Ir21a;GluRIIC;Ir25a;GluRIIA;GluRIIB;homer;Ir31a;clumsy;Ir40a;mtt;Prosap;Ir64a;GluRIA;GluRIB;Ir68a;Ir75a;Ir75b;Ir75c;Ir76b;CG32447;Nmdar1;Ir84a;Ir92a;GluRIIE;GluRIID;Ir93a;CG3822;boss;mGluR;CG11155;Nmdar2;Ir8a
negative regulation of biosynthetic process	net;kis;al;ebi;Gsc;erm;aop;insv;Elba2;Thor;tim;sob;Elba3;vri;Lam;dsf;lid;wg;chm;Su(var)205;Ssb-c31a;Chrac-14;Rcd-1r;me31B;CG12299;Nos;piwi;ab;salr;crol;Sfmbt;Su(H);stc;CG15262;sna;dl;msl-1;brat;Top2;CG9246;Mcm10;CG8677;tsh;tio;d4;Not3;bin3;jing;Bap170;geminin;so;Hey;Optix;dpn;gcl;Not1;eve;psq;wde;en;wash;Sin3A;spt4;Iswi;Psc;cid;mip120;fl(2)d;AGO1;Sox15;Oaz;Asx;chn;Rif1;casp;krimp;Khc;MESR4;Dcr-2;Hsf;Pcl;lolal;Ote;sbb;Spt5;pgc;CG42741;apt;retn;bgcn;CG3065;Pask;Chi;enok;nvy;Kr;CG2199;mu2;MEP-1;CG12605;blanks;scny;CG13287;CG13293;CG13296;CTCF;Srp9;CG7927;Cbl;Unr;Gug;CG6576;smg;phol;Jarid2;simj;JIL-1;CG7368;Pop2;toe;eyg;Sap130;Tgi;upSET;D;HGTX;gnu;Msh6;AGO2;CG7372;Mip;CG6843;asf1;tey;cyc;Mi-2;Su(z)12;kni;Eip78C;Pc;TfAP-2;eg;mael;hkb;corto;kra;Rga;RpL13A;MTA1-like;cas;gpp;bcd;Dfd;ftz;Antp;rn;CG8036;hb;CG11966;tgo;pum;HP1e;MBD-like;Scm;Fmr1;Fer3;Paip2;CtBP;Su(var)3-7;sqd;su(Hw);BigH1;Hsc70-4;Cp190;pnr;pad;ss;Hmx;CG7691;CG31224;nos;cic;CG4360;H;HHEX;Nelf-A;e;tin;lbe;C15;slou;CG6204;twin;polybromo;vig2;XNP;E(spl)mdelta-HLH;E(spl)mgamma-HLH;E(spl)m3-HLH;E(spl)m5-HLH;E(spl)m7-HLH;E(spl)m8-HLH;gro;scrib;CG1894;CG12071;ttk;heph;CG2053;zfh2;gw;pho;Hmt4-20;Rbf;arm;mip130;usp;gt;z;N;Mnt;Tip60;CG2982;bi;ovo;CG32767;Vsx2;Vsx1;CG12236;CG3847;fs(1)h;oc;Lim1;HP1b;lz;btd;CG43347;Usp7;Smr;tth;Pdcd4;acj6;Dsp1;B-H2;B-H1;CoRest;e(y)3;Rcd-1;run
positive regulation of RNA biosynthetic process	Pph13;Axud1;lilli;Mad;CG3347;sob;Cf2;H15;tomb;lid;CG4496;chm;Su(var)205;Ssb-c31a;gcm;gcm2;Dref;da;prd;pdm2;Pk34A;Su(H);wor;sna;dl;msl-1;tup;lok;Hr38;cad;CG31627;CG8677;dimm;tsh;Nipped-B;d4;jing;Bap170;Eaf;so;Rpt1;Optix;lig;udd;Nup50;lin;Myd88;eve;dmpd;lola;CG13204;en;tou;Mtor;spt4;Iswi;vg;CG6220;mam;Rcd1;Oaz;Asx;kn;chn;CG7786;MESR4;HLH54F;grh;CG5098;Hsf;Pcl;lolal;Spt5;CG10543;comr;Rtf1;RYBP;twi;CG9899;apt;retn;Chi;yki;enok;Dll;trh;CG2199;dre4;mu2;Mrtf;Rcd5;DOR;bin;akirin;Doc3;Doc2;Doc1;Nf-YA;JIL-1;TfIIEalpha;byn;Rpt4R;ssp;ara;caup;SNCF;D;HGTX;CG7804;CG6244;brm;Taf4;CycT;Eip74EF;Crtc;ftz-f1;ash1;cyc;Deaf1;Su(Tpl);Cdk12;TfAP-2;srl;Fip1;MED31;opa;Atu;MTA1-like;dgrn;TfIIFalpha;gpp;pb;zen;bcd;Dfd;Scr;ftz;Antp;e(y)2b;Ada2b;hb;CG11966;tgo;hyx;Rel;Rpt3R;MED6;topi;pont;TfIIFbeta;Taf12;Blm;MBD-R2;CG17202;CG5641;CtBP;trx;su(Hw);BigH1;nsl1;mor;srp;pnr;Abd-B;osa;CG7379;Ssdp;Ada2a;gl;CG7691;CG10887;Stat92E;TFAM;dmrt93B;tin;bap;C15;lmd;CG4374;nau;Rpt5;Nup98-96;polybromo;Hr96;Tl;ro;CG1894;dmrt99B;sima;Rpt6R;tll;CG12071;CG31008;CG12054;pygo;ttk;bip2;zfh2;onecut;ey;toy;sv;pho;sc;ase;trr;arm;usp;gt;z;N;Tip60;ovo;CG32767;schlank;Spt6;Nf-YC;fs(1)h;Trf2;org-1;oc;Lim1;HP1b;CG17440;Cfp1;lz;nej;btd;Rpt3;sisA;hep;Bap60;dmrt11E;tth;acj6;CG8944;Myb;exd;Dsp1;Nup153;xmas-2;B-H2;B-H1;CoRest;e(y)3;run;Rpt6
G protein-coupled receptor signaling pathway	GABA-B-R3;TrissinR;CG13995;homer;CG44153;mthl15;Rh5;CG31760;ACXB;ACXA;rk;Pburs;GABA-B-R1;CG31750;Ac3;CCHa2-R;CG1339;Dgk;mtt;CG8642;Cirl;FMRFa;stan;mthl13;CG13229;Cam;Dh44-R2;CG30054;CG17760;Dh31-R;Dh44-R1;CG15614;mthl4;mthl3;CCHa1-R;5-HT1B;5-HT1A;ktub;CG30280;CG43795;CG13575;mAChR-A;CG13579;ETH;Nplp1;mthl9;ACXD;CG32301;CG32305;MsR2;MsR1;FMRFaR;CG10359;Lkr;mthl2;CG32395;Galphai;mthl6;mthl7;Rh7;CG43373;Galphaf;Ilp8;Mip;AstC-R2;AstC-R1;Ac76E;sNPF-R;rdgC;Ac78C;CapaR;CG32447;Oct-TyrR;5-HT2A;NPFR;CG34384;mAChR-B;5-HT2B;Dh44;mthl11;TkR86C;Octbeta3R;Hug;PK2-R2;PK2-R1;PK1-R;Dop1R1;Trissin;Eh;Lgr1;TyrRII;TyrR;CG18208;Rh2;ETHR;SIFaR;GABA-B-R2;Octbeta1R;CCAP;Ets96B;Lgr3;CCAP-R;boss;RYa-R;AstA-R2;Dop1R2;Dup99B;TkR99D;AdoR;5-HT7;CG15556;stops;mGluR;fz3;CG4313;Pdfr;AstA-R1;Proc-R;Tbh;sofe;hec;RSG7;CG33639;CG32547;CCKLR-17D1;CCKLR-17D3;CG42450;amn;Dop2R
negative regulation of nucleobase-containing compound metabolic process	net;kis;al;ebi;Gsc;erm;aop;insv;Elba2;tim;sob;Elba3;vri;Lam;dsf;lid;wg;chm;Su(var)205;Ssb-c31a;Chrac-14;CG12299;Nos;piwi;ab;salr;crol;Sfmbt;Su(H);stc;sna;dl;msl-1;Acn;Top2;swm;CG9246;Mcm10;CG8677;tsh;tio;d4;bin3;jing;Bap170;geminin;so;Hey;Optix;dpn;gcl;eve;psq;wde;en;wash;Sin3A;spt4;Iswi;Psc;cid;mip120;fl(2)d;AGO1;Sox15;Oaz;Asx;chn;Rif1;Khc;MESR4;Dcr-2;Hsf;Pcl;lolal;Ote;sbb;Spt5;mago;pgc;CG42741;LS2;retn;CG3065;Chi;enok;nvy;Kr;CG2199;mu2;MEP-1;CG12605;blanks;scny;CG13287;CG13293;CG13296;CTCF;CG7927;BI-1;Gug;phol;Jarid2;simj;JIL-1;CG7368;toe;eyg;Sap130;Tgi;upSET;D;HGTX;gnu;Msh6;CG7804;AGO2;CG7372;CG6843;asf1;tey;cyc;Mi-2;Su(z)12;kni;Eip78C;Pc;TfAP-2;eg;mael;hkb;corto;MTA1-like;cas;gpp;Dfd;ftz;Antp;rn;CG8036;hb;CG11966;tgo;pum;HP1e;RnpS1;MBD-like;Scm;Fmr1;Fer3;Blm;CtBP;Su(var)3-7;sqd;su(Hw);BigH1;Hsc70-4;Cp190;pnr;pad;ss;Hmx;CG7691;CG31224;nos;cic;CG4360;H;HHEX;Nelf-A;tin;lbe;C15;slou;CG6204;Nab2;polybromo;vig2;XNP;E(spl)mdelta-HLH;E(spl)mgamma-HLH;E(spl)m3-HLH;E(spl)m5-HLH;E(spl)m7-HLH;E(spl)m8-HLH;gro;scrib;CG1894;Hrb98DE;CG12071;ttk;zfh2;pho;Hmt4-20;Rbf;arm;mip130;usp;gt;z;N;Mnt;Tip60;CG2982;bi;ovo;CG32767;Vsx2;Vsx1;CG12236;CG3847;fs(1)h;oc;Lim1;HP1b;lz;btd;CG43347;Usp7;Smr;tth;Pdcd4;acj6;Dsp1;B-H2;B-H1;CoRest;e(y)3;run
microtubule-based process	l(2)gl;rempA;capt;Cdlc2;cpb;robl22E;CG2955;ft;Lam;bchs;ifc;stai;TTLL3B;smt3;milt;CG31907;mts;CG14535;mtsh;Pp2A-29B;emb;Cks30A;CG3769;pelo;CG42366;pim;Nup154;CG14921;cmet;Rab6;CG5142;CG5458;CG10859;CG18109;Tektin-A;CG10839;grp;CG31803;BicD;Dhc36C;btv;CG15161;gammaTub37C;del;nompB;CG10834;pk;Incenp;cos;dpa;Nop17l;CG8800;Non1;Map60;dila;TER94;Prosbeta5;BBS4;Mtor;CG8407;wash;Cam;cnn;cbs;cid;mars;tum;Rcd1;aPKC;dup;SRPK;Lis-1;CG15701;Khc;Patronin;Klp54D;Mapmodulin;stau;CG17669;CG18190;Topors;hts;betaTub56D;CG7744;par-1;TBCB;PCNA;sktl;CG9313;cpa;mago;CG15676;CG11298;nsr;CG13526;CycB;CG3085;Klp59C;Klp59D;egl;CG3121;tsr;betaTub60D;CG16837;Dic61B;fwd;klar;Aplip1;msd1;robl62A;CG13930;Oseg4;Dhc62B;Oseg2;Non2;Girdin;Hsp83;armi;Rcd5;ens;CG18675;pav;Dhc64C;CG32232;mad2;ssp6;CG32396;CG32392;Galphai;CG7716;alphaTub67C;nudE;Klp68D;CCDC151;tral;Klc;Atg1;Zmynd10;mop;DCX-EMAP;CG7276;CG13074;CG6664;CG6652;CG9279;Rcd7;polo;chb;mael;Chro;CG14651;CG34425;tacc;CG17387;cno;Kat60;asl;CG2104;kat-60L1;alphaTub84B;Mst84Dc;alphaTub84D;osk;betaTub85D;CG9492;alphaTub85E;Fmr1;tws;pont;Jupiter;CG6971;Pp1-87B;Spc25;sqd;Kif19A;CG3259;jvl;Cp190;CG4525;CG45105;msps;CG7794;14-3-3epsilon;CG7131;Dlc90F;gwl;CG15923;Lrrk;Synd;Dhc93AB;Rab11;slmb;Rab1;asp;CG10845;CG5024;CG3339;wdb;btz;larp;Dhc98D;WASp;stg;gammaCOP;heph;Map205;Kif3C;futsch;mip130;egh;Klp3A;CG10793;ctp;Marf;Pink1;CG1571;CG10958;Moe;CG15306;feo;sofe;Klp10A;Ran;Dlic;dsh;nod;wisp;Mks1;g;mud;Lsd-2;Grip128;CG8509;Myb;Rok;Dhc16F;Grip84;Sdic1;tilB
embryonic pattern specification	l(2)gl;kis;lwr;lilli;Mad;sob;slp2;chic;wg;gcm;Ge-1;prd;Rab6;twe;scw;spir;cad;tsh;tio;gus;jing;gcl;lin;Wnt2;eve;TER94;psq;stan;en;SmD3;bic;AGO1;kn;aPKC;Dg;Khc;cnk;stau;par-1;exu;shg;mago;apt;retn;egl;Chi;gsb-n;gsb;Kr;klar;dos;Hsp83;armi;enc;sgl;Gug;RasGAP1;D;AGO2;pip;kni;Pc;croc;mael;lost;MED31;opa;pb;bcd;Dfd;ftz;Antp;hb;osk;pum;rump;Ras85D;glo;sqd;ems;rdx;Tm1;pnr;msps;Abd-B;Ssdp;nos;Dl;mira;cic;Stat92E;Rab11;slmb;Syx1A;tld;scrib;Tl;spz;btz;Doa;Axn;tll;pygo;lgs;arm;csw;gt;N;swa;fs(1)h;oc;Moe;Dsor1;btd;dsh;hop;tsg;lic;Grip128;dome;Mer;run
cell projection assembly	BBS8;rempA;cpb;CG13999;chic;PDZ-GEF;TTLL3B;C1GalTA;CG3769;CG42366;SCAR;CG5142;CG5458;CG10859;Arpc1;Tektin-A;CG10839;CG31803;Dhc36C;btv;kon;CG15161;Arpc2;Oseg5;dtr;nompB;mim;Nop17l;pnut;CG8800;dila;BBS4;aPKC;Cep89;Rho1;CG17669;ena;Efhc1.2;CG9313;shg;cpa;CG15666;nsr;CG3085;Klp59D;tsr;Rac1;Oseg4;Oseg2;vn;BBS1;SH3PX1;CG5964;CCDC151;Zmynd10;btl;Abl;Galphaf;in;atk;Hem;CG34425;CG17387;CG1126;kra;asl;Mst84Dc;CG9492;Fmr1;CG6971;CG14367;Abi;CG3259;Tm1;CG4525;psidin;Sep2;CG15923;CG13617;ssh;Mtl;DAAM;PsGEF;N;unc-119;sn;CG1571;CG10958;CG15208;Myo10A;Klp10A;Mks1;hep;Sep4;Cdc42;Rab35;CG15456;unc;tilB;CG17599
taxis	spen;kis;Ptth;dock;capt;robo3;haf;erm;Mad;tim;for;chic;mmy;Pvf2;Wnt4;santa-maria;Gr28b;gcm;Pen;CG44153;Trim9;SCAR;ab;Rh5;Rab6;kuz;Sos;beat-Ib;beat-Ic;beat-Ia;chif;dac;Oli;CadN;CadN2;tup;Lim3;brat;bur;Src42A;jing;pk;Br140;Dscam1;pdm3;Acsl;babo;eve;Hdc;lola;stan;E(Pc);en;otk;Cam;Psc;Drl-2;Nrk;conv;Hr51;unc-5;Dg;Rho1;Ptp52F;Lis-1;Khc;Alk;sbb;ena;hts;Toll-7;Lrt;CG10543;shg;dom;wrapper;retn;Chi;enok;nvy;betaTub60D;lov;Kr;pyx;nerfin-1;Rac1;Ptp61F;Dbx;msn;spz5;ago;NT1;Src64B;Con;velo;Mp;Dscam2;nmo;Dscam4;TrpA1;CCDC151;Ptp69D;D;nan;Toll-6;comm3;comm;brm;Abl;Dab;tap;Nedd4;CG32206;rdgC;gogo;ko;chb;Wnk;CG7166;CkIIalpha;Cont;Nmdar1;kra;Xe7;Pak;dpr11;grn;Fmr1;HisCl1;sad;CG34402;Pp1-87B;beat-Vc;beat-Va;beat-Vb;Abi;Dop1R1;trx;l(3)L1231;Hsc70-4;msps;Fas1;beat-IIb;beat-IIa;Dscam3;14-3-3epsilon;ort;psidin;bon;RhoGAP93B;klg;beat-IV;tok;XNP;Tl;spz;side;CG34353;beat-VI;RhoGAP100F;DAAM;gt;Pdfr;egh;N;pod1;iav;Nf-YC;Moe;dsh;Ptp10D;bif;hep;Clic;mud;NetB;acj6;CG6867;CG34401;Vav;Cdc42;Nup205;run
axis specification	l(2)gl;lwr;capt;chic;milt;Ge-1;Rab6;sna;cact;dl;BicD;gammaTub37C;scw;spir;cad;gus;pk;lig;gcl;lin;eve;TER94;psq;SmD3;bic;Dp;aPKC;Dg;Lis-1;krimp;Khc;cnk;stau;par-1;TBCB;exu;sktl;shg;mago;twi;egl;zip;Kr;klar;dos;Hsp83;armi;enc;Dhc64C;Cbl;RasGAP1;D;pip;kni;mael;CkIIalpha;lost;MED31;zen;bcd;Antp;hb;osk;pum;rump;Ras85D;Fmr1;glo;sqd;rin;jvl;Tm1;msps;14-3-3epsilon;nos;Dl;mira;cic;Rab11;slmb;Syx1A;tld;scrib;Tl;spz;btz;tll;faf;heph;csw;gt;N;spoon;swa;fs(1)h;oc;Moe;Dsor1;CkIIbeta;tsg;lic;Grip128;Rok;Mer;Rab35
establishment of tissue polarity	spen;ds;S;aop;fred;ed;ft;Wnt4;Akap200;d;Pburs;CG15283;CadN;CadN2;spi;pk;lola;stan;otk;sca;hbs;Rho1;grh;fj;par-1;shg;tsr;zip;fwd;mwh;Rac1;Patj;msn;tow;nmo;msk;ara;caup;flr;in;cno;puc;Ras85D;rin;rdx;Abi;gish;Dl;scrib;ro;Mtl;dco;N;Rala;ec;sqh;nej;dsh;hop;fw;Mks1;hep;Rok;Cdc42
cell-cell signaling	l(2)gl;Ir21a;spen;nAChRbeta3;ds;GluRIIC;aop;VGlut;Hrs;CG9961;Thor;ft;fusl;GluRIIA;GluRIIB;Nlg2;Wnt4;wg;Wnt6;Wnt10;mts;Snx6;Gdi;ppk16;ppk11;nAChRalpha6;crol;Rab3-GAP;nAChRalpha5;sna;Syx5;BicD;CG7094;Sytalpha;clumsy;dimm;dtr;tsh;Src42A;pk;CanB2;Cul1;nito;mtt;Cirl;Acsl;lin;Wnt2;FMRFa;TER94;Syb;stan;CG12344;otk;Sin3A;nemy;sca;vg;Drl-2;stj;Syngr;tum;Prosap;VGAT;phyl;kn;Arf51F;Cep89;Dg;Rho1;DAT;Alk;fj;CG14505;5-HT1B;5-HT1A;hpo;CkIIbeta2;Synj;NtR;twi;apt;CG10339;mAChR-A;Letm1;gsb;Glut1;Fife;spz5;Shab;pav;NT1;Src64B;sgl;unc-13-4A;nmo;CG7927;nwk;PGRP-LC;SH3PX1;Atg1;Syx13;mop;Reck;Sytbeta;Hip14;Notum;Abl;Grd;CG32206;Shal;Csas;cmpy;skd;Syx7;Wnk;CG32447;Csp;Arf79F;CkIIalpha;hkb;5-HT2A;CG12147;Nmdar1;Nlg1;mAChR-B;5-HT2B;hyx;pum;hyd;Snap24;Fmr1;gammaSnap2;tws;pont;Csk;HisCl1;CG34402;Pp1-87B;Snx3;CtBP;wntD;PK1-R;Dop1R1;Hsc70-4;Rbp;Akt1;gish;osa;Ssdp;Dl;ort;RhoGAP92B;Nlg4;Pi3K92E;GluRIIE;GluRIID;Synd;Ir93a;CG3822;Atpalpha;slmb;Rab1;GABA-B-R2;CASK;lqfR;nau;RanBP3;Syx1A;nAChRalpha1;nAChRalpha2;nAChRbeta2;Pp1alpha-96A;Bili;boss;gro;Ser;Tusp;TkR99D;Axn;AdoR;CG15537;CDase;Rpt6R;wts;tll;5-HT7;CanA1;dco;Gycbeta100B;pygo;kek6;Syt7;lgs;CG1909;mGluR;CG11155;fz3;Sec22;Vps26;arm;N;Tip60;CanB;Grip;Pink1;nAChRalpha3;nej;X11Lbeta;Rph;BTBD9;rtv;dsh;CkIIbeta;cac;CG2577;CkIalpha;lic;Neto;CG5541;Rab3-GEF;Scamp;CG8916;Lcch3;Rok;B-H2;stas;upd2;por;nAChRalpha7;Mer;Cdc42;Rpt6
regulation of cell differentiation	l(2)gl;kis;lwr;erm;aop;Hrs;Mad;ed;H15;chic;lid;PDZ-GEF;mmy;wg;chm;mts;C1GalTA;numb;gcm;gcm2;da;Trim9;Nup154;bun;kuz;He;Su(H);wor;Cyt-c-d;CadN;ham;Nedd8;Catsup;brat;Pax;spi;Mcm10;Src42A;pk;Dscam1;Cul1;nito;Hey;dpn;eve;TER94;stan;bic;Dp;Vmat;tum;Prosap;mspo;kn;SMC2;aPKC;chn;Hr51;Mlf;Rho1;spin;Lis-1;Khc;RhoGEF2;grh;stau;par-1;hpo;exu;shg;mago;Sox14;yki;enok;zip;Kr;klar;nerfin-1;Rac1;enc;ago;Src64B;Dhc64C;vn;Rcc1;PGRP-SD;Cbl;PGRP-LC;RasGAP1;nudE;Atg1;btl;mop;comm;brm;Mbs;Abl;Dab;PGRP-SB2;nudC;sinah;tap;Nedd4;trc;polo;barc;mael;Arf79F;MED31;kat-60L1;Pak;Antp;puc;Atg13;Cenp-C;hb;tgo;Ras85D;MED6;Fmr1;tws;Tctp;kibra;eff;mor;srp;Akt1;ss;Pak3;Abd-B;osa;cdi;Dl;mira;Stat92E;Pi3K92E;Lrrk;Rab11;slmb;Rab1;lbl;lbe;sav;nau;mbc;Syx1A;Tsc1;BRWD3;ssh;E(spl)mdelta-HLH;E(spl)mgamma-HLH;E(spl)m3-HLH;E(spl)m5-HLH;E(spl)m7-HLH;E(spl)m8-HLH;ro;Ser;alph;hdc;wts;ttk;fuss;sv;G9a;sc;ase;MED22;DAAM;usp;csw;kirre;N;ec;lva;ctp;swa;oc;lz;btd;spri;Imp;Dlic;dsh;PGRP-SA;bif;hep;Bap60;Pdcd4;NetB;Efhc1.1;exd;mbt;Rok;RhoGAPp190;mnb;ari-1;CG34401;Ulp1;Hs3st-B;Mer;Cdc42;Rab35
chromatin organization	ebi;Rab5;CG3515;Elba2;Chd1;msl-2;Art2;Elba3;Ncoa6;Hel25E;Lam;lid;chm;Su(var)205;Chrac-14;borr;Etl1;Dpy-30L1;YL-1;piwi;crol;Sfmbt;sna;msl-1;Top2;CG9246;bur;Mcm10;CG8677;Df31;CG31703;Nipped-B;d4;bin3;jing;Bap170;Br140;Incenp;U2A;MrgBP;Caf1-105;psq;wde;san;E(Pc);tou;Mtor;wash;Sin3A;spt4;Iswi;Psc;cid;CG6220;fl(2)d;AGO1;Rcd1;Asx;Su(var)2-HP2;BEAF-32;Rif1;Khc;Dcr-2;CG10931;Pcl;lolal;Topors;dom;HmgD;pgc;Rtf1;CG9899;Ssrp;Nap1;yki;enok;Nurf-38;Kr;E(bx);dre4;mu2;CG42355;Rcd5;Dpy-30L2;blanks;scny;Bre1;eco;HP4;Gug;Jarid2;Naa60;JIL-1;sti;snky;Spt20;upSET;CG12316;AGO2;CG6244;brm;CG33060;l(3)73Ah;HipHop;Chd3;ash1;asf1;Mi-2;Su(z)12;Mst77F;ctrip;corto;mia;Atu;MTA1-like;gpp;e(y)2b;Ada2b;CG8036;CG8223;E(var)3-9;hyx;HP1e;MBD-like;Scm;hyd;Art4;Fmr1;pont;jumu;Art1;Tctp;Taf12;CG10909;CtBP;Su(var)3-7;Art9;Art6;trx;su(Hw);BigH1;Hsc70-4;Set;Cp190;nsl1;mor;cal1;osa;CG7379;Ada2a;CG14282;CG10887;Stat92E;bon;mod(mdg4);Tpl94D;Nup98-96;CG6204;polybromo;vig2;XNP;His2Av;CG5815;mil;CG1894;yem;dgt1;Nlp;pho;G9a;Hmt4-20;CG3708;trr;wapl;z;wds;CG12498;Tip60;CG2982;dhd;Act5C;Spt6;Caf1-180;HP1b;His3.3B;Cfp1;nej;CG43902;Pa1;hop;Usp7;Bap60;HDAC4;Set2;tth;Nup93-1;Top1;CG9915;Dsp1;Nup153;Sap30;CoRest;e(y)3
cation transport	GluRIIC;dpr3;CG8837;CG33281;CG33282;CG3285;CG15408;Shaw;nompC;GluRIIA;GluRIIB;CG31644;Ucp4C;Ucp4B;ppk7;ppk14;Sec61alpha;homer;nrv1;Ntl;Shawl;ppk16;ppk11;nAChRalpha6;FKBP59;ppk10;Vha16-5;Porin2;CG7309;ZnT33D;Pkd2;CG5421;Vha68-2;Vha68-3;nAChRalpha5;ppk;CG33310;CG15270;CG4587;Ca-alpha1D;CG42817;CG5888;Trpgamma;ppk17;Sytalpha;Catsup;ppk13;Nhe2;ppk25;CG2121;CG1688;CG44296;KCNQ;Tret1-2;Vha36-2;Cam;Vmat;stj;Prosap;CG8249;CngA;DAT;Nach;Vha16-4;Elk;Rgk2;Vha100-3;Rgk1;ppk6;CG34396;Rgk3;CngB;ppk9;Synj;ppk12;CG45063;CG42260;blw;ppk3;levy;sei;ppk29;SerT;Letm1;Mid1;NKAIN;NaCP60E;Tpc2;pyx;CG9194;Shab;ZnT63C;Teh4;Teh3;tipE;VhaM9.7-a;Rh50;GluRIA;ppk26;foi;TrpA1;GluRIB;Vha16-2;CG10960;CG17300;nan;Zip71B;Sytbeta;Nedd4;Ndfip;Grd;Prestin;brv1;Shal;Ir76b;ZnT77C;ppk5;Wnk;CapaR;slif;CG1090;Orco;CG1208;Vha14-2;CG14606;CG14605;wtrw;CD98hc;CG31100;Task7;CG9444;Teh1;Vha55;Task6;VhaPPA1-2;VhaM9.7-d;Vha100-2;CG10864;CG7708;CG11703;GluRIIE;GluRIID;CG3822;Atpalpha;CG4704;VhaAC39-2;Irk2;prt;nAChRalpha1;nAChRalpha2;ppk22;ppk15;ppk31;unc80;mfrn;Cnx99A;ppk20;ppk30;ppk19;Zip99C;AdoR;Fer2LCH;Ctr1C;ppk24;Syt7;CG12773;CG3078;Vha36-3;brv3;ppk8;yin;VhaAC39-1;CG42594;CG42265;Ca-alpha1T;CG42340;iav;nAChRalpha3;CG33181;CG32669;rtv;CG43155;cac;Fer3HCH;Syt12;na;eag;Cngl;CG4239;ppk28;ppk23;nAChRalpha7;CG12061;CG17167
morphogenesis of a polarized epithelium	l(2)gl;spen;ds;S;aop;fred;ed;ft;Wnt4;Akap200;d;Pburs;CG15283;CadN;CadN2;spi;pk;lola;stan;otk;sca;aPKC;hbs;Rho1;grh;fj;par-1;shg;tsr;zip;fwd;mwh;Rac1;Patj;msn;Dhc64C;tow;nmo;msk;ara;caup;flr;in;cno;puc;Ras85D;yrt;rin;rdx;Abi;gish;Dl;scrib;ro;Mtl;dco;N;Rala;ec;sqh;nej;dsh;hop;fw;Mks1;hep;Rok;Cdc42
regulation of anatomical structure morphogenesis	l(2)gl;ds;capt;aop;Sec24CD;Drp1;Mad;ed;ft;chic;PDZ-GEF;mmy;wg;mtsh;Akap200;raw;Dref;Trim9;SCAR;kuz;Pburs;CG15283;Su(H);Cyt-c-d;CadN;Pax;Arpc2;Mcm10;tsh;Src42A;pk;Dscam1;eve;stan;otk;Opa1;mspo;kn;aPKC;chn;Hr51;Mlf;Rho1;Lis-1;RhoGEF2;rib;par-1;Pgam5-2;zip;fwd;Rac1;msn;Src64B;RasGAP1;nudE;btl;Mbs;Abl;Dab;nudC;sinah;tap;Nedd4;trc;zye;Hem;cno;kat-60L1;Pak;Dfd;pyd;tgo;Ras85D;Fmr1;Cad86C;Abi;eff;gish;ss;Pak3;Abd-B;htl;cdi;Lrrk;Rab11;Rab1;lbe;sav;nau;BRWD3;ssh;ro;Mtl;WASp;alph;neo;wts;bnk;nyo;ttk;sv;G9a;DAAM;csw;kirre;N;Rala;ec;lva;ovo;Marf;Pink1;Dok;slpr;oc;Moe;lz;Dlic;dsh;hop;bif;Mks1;NetB;Efhc1.1;mbt;Rok;RhoGAPp190;CG34401;Mer;Cdc42;Rab35
leg disc development	al;Su(dx);Rab5;Mad;sob;H15;d;Sos;dac;Pax;tsh;jing;Bap170;pk;vg;Poxn;Rho1;RhoGAP54D;fj;tsr;Dll;bab1;ru;l(3)psg2;vn;Gug;RhoGAP68F;RhoGAP71E;brm;ftz-f1;skd;TfAP-2;Pak;rn;hyx;Ras85D;mor;ss;osa;Dl;RhoGAP92B;lbl;lbe;C15;polybromo;Ser;lgs;N;ovo;dx;Lim1;btd;dsh;hop;Drak;Dsp1;B-H2;B-H1;Hs3st-B;e(y)3;RhoGAP19D
head development	robo3;chinmo;erm;bchs;chic;gcm;ab;bun;wor;dac;brat;bsh;tsh;tio;Nipped-B;jing;Dscam1;babo;unpg;ced-6;Uba1;eve;stan;en;MCPH1;Prosap;kn;Hr51;Lis-1;shg;apt;tsr;enok;Dll;Src64B;Dhc64C;vn;S-Lap1;D;tap;ftz-f1;croc;alpha-Cat;tacc;cas;Dmtn;pb;Dfd;ftz;Antp;hb;tgo;Fmr1;ems;SMC1;asp;ssh;tll;ey;toy;ebo;DAAM;usp;PsGEF;gt;cib;dhd;oc;btd;CkIIbeta;mud;exd;mbt;RhoGAPp190;Tao
