cat,gene_list,genes
localization of cell,<chr>,fz_0.691507448148875_0.00274276172677678_3.23e-05
regulation of cell differentiation,<chr>,fz_0.691507448148875_0.00274276172677678_3.23e-05_Prosap_0.619506663699584_3.62392340522743e-07_3.56e-05_Src64B_0.94786652654855_7.70970822427843e-09_4.74e-05
regulation of anatomical structure morphogenesis,<chr>,fz_0.691507448148875_0.00274276172677678_3.23e-05_Src64B_0.94786652654855_7.70970822427843e-09_4.74e-05_Moe_0.293100468619487_0.00581264705150257_8.79e-05
positive regulation of cellular component organization,<chr>,fz_0.691507448148875_0.00274276172677678_3.23e-05_Prosap_0.619506663699584_3.62392340522743e-07_3.56e-05_Moe_0.293100468619487_0.00581264705150257_8.79e-05
regulation of cell projection organization,<chr>,fz_0.691507448148875_0.00274276172677678_3.23e-05_Prosap_0.619506663699584_3.62392340522743e-07_3.56e-05
epidermis development,<chr>,fz_0.691507448148875_0.00274276172677678_3.23e-05
regulation of nervous system development,<chr>,fz_0.691507448148875_0.00274276172677678_3.23e-05_Prosap_0.619506663699584_3.62392340522743e-07_3.56e-05_Src64B_0.94786652654855_7.70970822427843e-09_4.74e-05
animal organ formation,<chr>,fz_0.691507448148875_0.00274276172677678_3.23e-05
formation of anatomical boundary,<chr>,fz_0.691507448148875_0.00274276172677678_3.23e-05
cell proliferation,<chr>,fz_0.691507448148875_0.00274276172677678_3.23e-05_svp_-1.21333623987311_1.22762002553897e-07_5.22e-05_Moe_0.293100468619487_0.00581264705150257_8.79e-05
tissue migration,<chr>,fz_0.691507448148875_0.00274276172677678_3.23e-05
regulation of cellular component biogenesis,<chr>,fz_0.691507448148875_0.00274276172677678_3.23e-05_Src64B_0.94786652654855_7.70970822427843e-09_4.74e-05_Btk29A_0.594805512501183_0.00129533323440087_5.42e-05
cuticle development,<chr>,fz_0.691507448148875_0.00274276172677678_3.23e-05
supramolecular fiber organization,<chr>,fz_0.691507448148875_0.00274276172677678_3.23e-05_Ten-m_0.509361353698651_0.000464046612882467_3.43e-05_Src64B_0.94786652654855_7.70970822427843e-09_4.74e-05_Btk29A_0.594805512501183_0.00129533323440087_5.42e-05_Moe_0.293100468619487_0.00581264705150257_8.79e-05
regulation of organelle organization,<chr>,fz_0.691507448148875_0.00274276172677678_3.23e-05_Src64B_0.94786652654855_7.70970822427843e-09_4.74e-05_Btk29A_0.594805512501183_0.00129533323440087_5.42e-05_Moe_0.293100468619487_0.00581264705150257_8.79e-05
microtubule-based process,<chr>,Ten-m_0.509361353698651_0.000464046612882467_3.43e-05_Moe_0.293100468619487_0.00581264705150257_8.79e-05
central nervous system development,<chr>,Prosap_0.619506663699584_3.62392340522743e-07_3.56e-05_Src64B_0.94786652654855_7.70970822427843e-09_4.74e-05_svp_-1.21333623987311_1.22762002553897e-07_5.22e-05
head development,<chr>,Prosap_0.619506663699584_3.62392340522743e-07_3.56e-05_Src64B_0.94786652654855_7.70970822427843e-09_4.74e-05
glutamate receptor signaling pathway,<chr>,Prosap_0.619506663699584_3.62392340522743e-07_3.56e-05
cation transport,<chr>,Prosap_0.619506663699584_3.62392340522743e-07_3.56e-05_Cngl_-1.17889509344622_7.03440140117659e-06_4.89e-05_CngB_-2.65568005753624_4.2132668465535e-07_7.74e-05
organelle assembly,<chr>,Prosap_0.619506663699584_3.62392340522743e-07_3.56e-05
enzyme linked receptor protein signaling pathway,<chr>,Src64B_0.94786652654855_7.70970822427843e-09_4.74e-05_svp_-1.21333623987311_1.22762002553897e-07_5.22e-05
meiotic cell cycle,<chr>,Src64B_0.94786652654855_7.70970822427843e-09_4.74e-05_Btk29A_0.594805512501183_0.00129533323440087_5.42e-05
regulation of phosphorus metabolic process,<chr>,Src64B_0.94786652654855_7.70970822427843e-09_4.74e-05
response to endogenous stimulus,<chr>,Src64B_0.94786652654855_7.70970822427843e-09_4.74e-05_svp_-1.21333623987311_1.22762002553897e-07_5.22e-05
protein phosphorylation,<chr>,Src64B_0.94786652654855_7.70970822427843e-09_4.74e-05_Btk29A_0.594805512501183_0.00129533323440087_5.42e-05_CG11221_-1.70014885424402_8.24459118800992e-05_7.01e-05
regulation of protein modification process,<chr>,Src64B_0.94786652654855_7.70970822427843e-09_4.74e-05
cellular response to chemical stimulus,<chr>,Src64B_0.94786652654855_7.70970822427843e-09_4.74e-05_svp_-1.21333623987311_1.22762002553897e-07_5.22e-05
cognition,<chr>,Src64B_0.94786652654855_7.70970822427843e-09_4.74e-05_Btk29A_0.594805512501183_0.00129533323440087_5.42e-05_CG11221_-1.70014885424402_8.24459118800992e-05_7.01e-05
response to growth factor,<chr>,Src64B_0.94786652654855_7.70970822427843e-09_4.74e-05
positive regulation of molecular function,<chr>,Src64B_0.94786652654855_7.70970822427843e-09_4.74e-05
positive regulation of protein metabolic process,<chr>,Src64B_0.94786652654855_7.70970822427843e-09_4.74e-05
regulation of transferase activity,<chr>,Src64B_0.94786652654855_7.70970822427843e-09_4.74e-05
peptidyl-amino acid modification,<chr>,Src64B_0.94786652654855_7.70970822427843e-09_4.74e-05_Btk29A_0.594805512501183_0.00129533323440087_5.42e-05_CG11221_-1.70014885424402_8.24459118800992e-05_7.01e-05_CG3515_-5.0712816233023_0.00153788382995365_9.43e-05
cellularization,<chr>,Src64B_0.94786652654855_7.70970822427843e-09_4.74e-05_Btk29A_0.594805512501183_0.00129533323440087_5.42e-05
negative regulation of developmental process,<chr>,Src64B_0.94786652654855_7.70970822427843e-09_4.74e-05
ovarian nurse cell to oocyte transport,<chr>,Src64B_0.94786652654855_7.70970822427843e-09_4.74e-05_Btk29A_0.594805512501183_0.00129533323440087_5.42e-05
germarium-derived egg chamber formation,<chr>,Src64B_0.94786652654855_7.70970822427843e-09_4.74e-05_Btk29A_0.594805512501183_0.00129533323440087_5.42e-05
second-messenger-mediated signaling,<chr>,Cngl_-1.17889509344622_7.03440140117659e-06_4.89e-05_CngB_-2.65568005753624_4.2132668465535e-07_7.74e-05
response to oxygen-containing compound,<chr>,svp_-1.21333623987311_1.22762002553897e-07_5.22e-05
stem cell differentiation,<chr>,svp_-1.21333623987311_1.22762002553897e-07_5.22e-05
gliogenesis,<chr>,svp_-1.21333623987311_1.22762002553897e-07_5.22e-05
mating,<chr>,Btk29A_0.594805512501183_0.00129533323440087_5.42e-05_Moe_0.293100468619487_0.00581264705150257_8.79e-05
reproductive behavior,<chr>,Btk29A_0.594805512501183_0.00129533323440087_5.42e-05_Moe_0.293100468619487_0.00581264705150257_8.79e-05
protein polymerization,<chr>,Btk29A_0.594805512501183_0.00129533323440087_5.42e-05
embryo development ending in birth or egg hatching,<chr>,Btk29A_0.594805512501183_0.00129533323440087_5.42e-05
leg disc development,<chr>,Sp1_-1.3007078900089_1.59832228718337e-05_7.15e-05
detection of stimulus,<chr>,Gr61a_-3.76355114536618_6.51301370704883e-08_7.42e-05
chromatin organization,<chr>,HmgZ_-0.686246964635641_0.000128805691870804_7.74e-05_HmgD_0.634526645170337_6.18703142355048e-08_8.63e-05_CG3515_-5.0712816233023_0.00153788382995365_9.43e-05
cytoplasm organization,<chr>,Moe_0.293100468619487_0.00581264705150257_8.79e-05
developmental maturation,<chr>,Moe_0.293100468619487_0.00581264705150257_8.79e-05
oocyte differentiation,<chr>,Moe_0.293100468619487_0.00581264705150257_8.79e-05
import into cell,<chr>,Moe_0.293100468619487_0.00581264705150257_8.79e-05
organelle fission,<chr>,Moe_0.293100468619487_0.00581264705150257_8.79e-05
chromosome segregation,<chr>,Moe_0.293100468619487_0.00581264705150257_8.79e-05
cortical cytoskeleton organization,<chr>,Moe_0.293100468619487_0.00581264705150257_8.79e-05
