GO	genes
microtubule-based process	l(2)gl;rempA;capt;Cdlc2;cpb;CG2955;ft;Lam;bchs;ifc;stai;Liprin-alpha;Wee1;smt3;milt;CG31907;cdc14;mts;CG14535;Rbsn-5;mtsh;Pp2A-29B;emb;Cks30A;Pka-C1;pelo;CG42366;pim;Nup154;CG14921;cmet;cana;Rab6;CG5142;CG5458;CG10859;yuri;CG18109;Tektin-A;CG10839;grp;CG31803;BicD;Dhc36C;btv;CG31802;CG15161;Grip71;robl37BC;gammaTub37C;del;nompB;CG10834;l(2)41Ab;CG17528;TpnC41C;TpnC4;Mob4;Eb1;pk;Incenp;cos;dpa;didum;Nop17l;CG14763;ana2;CG8800;Map60;dila;TER94;mlt;Prosbeta5;BBS4;Mtor;CG8407;wash;cnn;cbs;cid;mars;tum;Rcd1;aPKC;dup;SRPK;Khc-73;Lis-1;CG15701;Khc;robls54B;Patronin;Klp54D;sub;thr;Mapmodulin;stau;CG17669;CG18190;Topors;betaTub56D;CG7744;par-1;TBCB;PCNA;Rcd6;sktl;CG9313;cpa;mago;CG9406;CG15676;nsr;CG30259;CG13526;CycB;CG3085;Klp59C;Klp59D;egl;CG3121;tsr;CG16837;Dic61B;wac;fwd;klar;Aplip1;msd1;robl62A;CG13930;Oseg4;Dhc62B;Oseg2;Non2;Girdin;Hsp83;armi;dar1;Eip63F-1;Rcd5;ens;pav;Dhc64C;CG32232;Tektin-C;mad2;ssp6;CG32396;CG32392;Mis12;Galphai;CG7716;Ank2;CG32371;pbl;Klp67A;alphaTub67C;nudE;Klp68D;CCDC151;tral;Klc;Atg1;Zmynd10;nuf;mop;DCX-EMAP;CG13074;CG6664;CG6652;CG33052;CG9279;Rcd7;polo;chb;CG10510;Ten-m;mael;Chro;CG14651;CG34425;tacc;CG17387;cno;Kat60;Prosbeta7;asl;CG2104;kat-60L1;alphaTub84B;Sas-4;Mst84Dd;Mst84Db;alphaTub84D;lds;Sgt1;osk;betaTub85D;CG9492;alphaTub85E;Fmr1;tws;Skeletor;Jupiter;CG6971;Spc25;CG9286;Kif19A;CG3259;jvl;Cp190;CG4525;CG45105;msps;CG7794;14-3-3epsilon;CG7131;Dlc90F;gwl;CG15923;Synd;Dhc93AB;Rab11;slmb;Rab1;Cby;bond;cnc;spas;Apc2;CHORD;ana1;asp;CG10845;Mink;ball;CG3339;Klp98A;wdb;btz;larp;Dhc98D;WASp;Apc;stg;ncd;gammaCOP;heph;Map205;Kif3C;CG11638;futsch;mip130;egh;Klp3A;CG10793;ctp;CG1571;CG10958;Moe;ric8a;CG15306;feo;sofe;Klp10A;Ran;Dlic;Kap3;dsh;nod;wisp;Mks1;g;mud;Lsd-2;Grip128;CG8509;Chc;Myb;kat80;Rok;baz;par-6;Dhc16F;Grip84;CG17003;Sdic1;sw;Pp4-19C;tilB
cell morphogenesis involved in differentiation	spen;kis;ds;dock;capt;robo3;haf;erm;Rab5;daw;for;ft;tutl;Traf4;mid;chic;mmy;eya;Liprin-alpha;smt3;Wnt4;SoxN;tai;gcm;gcm2;Dref;CG44153;Cdk5alpha;Trim9;SCAR;ab;Rab6;nub;Tor;kuz;Sos;Arpc1;Cul3;beat-Ib;beat-Ic;beat-Ia;chif;dac;beat-IIIc;Oli;CadN;CadN2;amos;ham;tup;Nak;Lim3;brat;drl;CdGAPr;sick;bur;cta;p120ctn;ap;Src42A;EcR;jing;pk;Br140;Dscam1;Optix;pdm3;babo;Vang;Wnt2;eve;TER94;lola;stan;nompA;E(Pc);en;otk;Psc;Drl-2;Nrk;cnn;tum;CG6701;Prosap;conv;kn;aPKC;chn;Hr51;unc-5;Ptp52F;Lis-1;Khc;Alk;RhoGEF2;Bap55;grh;sbb;ena;Toll-7;shg;dom;wrapper;jbug;stl;retn;Chi;tsr;enok;nvy;Kr;Ptpmeg;nerfin-1;trio;Rac1;Ptp61F;Patj;Dbx;msn;spz5;Girdin;dar1;ago;NT1;Src64B;Dhc64C;velo;vvl;Mp;Dscam2;frac;Ank2;pbl;Dscam4;Shc;nudE;E(z);ara;mirr;Ptp69D;sens;Liprin-beta;btl;D;fz;Toll-6;RhoGAP71E;comm3;comm;sff;brm;Mbs;fax;Abl;Dab;CG9705;nudC;tap;Nedd4;ftz-f1;wnd;trc;gogo;zye;ko;chb;Wnk;CG7166;Hem;Ten-m;CkIIalpha;alpha-Cat;CG41099;Cont;Gnf1;kra;kat-60L1;Pak;dpr11;grn;Poxm;pum;Ras85D;Scm;Fmr1;ninaG;sad;beat-Vc;beat-Va;beat-Vb;Abi;trx;put;Hsc70-4;Tm1;msps;ss;Pak3;Fas1;cher;beat-IIb;beat-IIa;Dscam3;14-3-3epsilon;fru;gukh;nos;sqz;Dl;Ire1;psidin;Stat92E;bon;Pi3K92E;RhoGAP93B;Sec15;slmb;Rab1;tsl;klg;sav;hh;cnc;beat-IV;spas;SMC1;crb;tok;ssh;XNP;E(spl)m8-HLH;spz;side;CG34353;beat-VI;WASp;neo;hdc;wts;Gprk2;mey;nyo;Med;RhoGAP100F;PlexA;Actbeta;pho;G9a;DAAM;futsch;usp;ph-p;egh;fs(1)Yb;N;lva;Ptp4E;raptor;pod1;Nf-YC;fs(1)h;cyr;CG2116;Smox;oc;Moe;CG42797;spri;Dlic;dsh;hop;Ptp10D;bif;m;CG12717;hep;CG11584;mud;NetA;NetB;acj6;Efhc1.1;Rok;baz;CG32564;RhoGAPp190;CG6867;Wnt5;CG34401;Ulp1;rictor;Vav;Cdc42;parvin;Rab35;RunxA;run
embryonic pattern specification	l(2)gl;kis;lwr;dpp;lilli;Mad;sob;odd;bowl;slp1;slp2;chic;wg;Rbsn-5;SoxN;gcm;Pka-C1;Ge-1;prd;Rab6;twe;Grip71;scw;spir;cad;tsh;tio;rl;gus;jing;didum;tor;sax;gcl;lin;Wnt2;clos;eve;TER94;psq;stan;en;SmD3;bic;AGO1;kn;aPKC;Khc;cnk;stau;edl;par-1;exu;shg;mago;tud;apt;retn;egl;Chi;gsb-n;gsb;Kr;klar;dos;Hsp83;armi;enc;sgl;Gug;Shc;RasGAP1;D;fz;pip;kni;Pc;croc;mael;lost;opa;pb;bcd;Dfd;ftz;Antp;hb;osk;pum;rump;Ras85D;glo;rdx;Tm1;spn-E;pnr;msps;Ubx;Abd-B;Ssdp;nos;Dl;mira;cic;Stat92E;Rab11;slmb;tsl;loco;hh;cnc;orb;Syx1A;Apc2;tld;Tnks;scrib;Tl;spz;btz;Apc;Doa;Axn;tll;pygo;lgs;fs(1)N;arm;csw;N;fs(1)M3;swa;fs(1)h;oc;Moe;Dsor1;btd;dsh;hop;tsg;lic;Grip128;Chc;baz;dome;Mer;run
taxis	spen;kis;Ptth;dock;capt;robo3;haf;erm;dpp;daw;Mad;tim;for;tutl;mid;chic;mmy;eya;Liprin-alpha;Pvf2;Wnt4;Gr28b;SoxN;gcm;Pen;CG44153;Cdk5alpha;Trim9;SCAR;ab;Rh5;Rab6;Tor;kuz;Sos;yuri;esg;beat-Ib;beat-Ic;beat-Ia;chif;dac;beat-IIIc;Oli;CadN;CadN2;tup;Lim3;Ddc;brat;drl;CdGAPr;bur;ap;Src42A;jing;pk;Br140;Dscam1;tor;pdm3;babo;Vang;wun2;eve;Hdc;lola;stan;E(Pc);en;otk;Psc;Drl-2;Nrk;conv;Trpm;Hr51;unc-5;Ptp52F;Lis-1;Khc;Alk;Bap55;sbb;ena;Toll-7;Lrt;CG10543;shg;dom;wrapper;jbug;retn;Chi;enok;nvy;lov;Kr;pyx;Ptpmeg;nerfin-1;trio;Rac1;Ptp61F;Dbx;msn;spz5;ago;NT1;Src64B;Con;ple;velo;vvl;Mp;Dscam2;nmo;Dscam4;TrpA1;Shc;E(z);CCDC151;mirr;Ptp69D;sens;D;nan;fz;Toll-6;comm3;comm;brm;Abl;Dab;tap;Nedd4;CG32206;rdgC;gogo;ko;chb;Wnk;CG7166;Ten-m;CkIIalpha;Cont;Nmdar1;kra;Pak;dpr11;grn;Fmr1;HisCl1;sad;svp;CG34402;beat-Vc;beat-Va;beat-Vb;Abi;Dop1R1;trx;put;l(3)L1231;Hsc70-4;Rh6;msps;Fas1;cher;beat-IIb;beat-IIa;Dscam3;cdm;14-3-3epsilon;fru;gukh;sqz;ort;bnl;psidin;bon;RhoGAP93B;Sec15;klg;hh;beat-IV;tok;XNP;Tl;spz;side;CG34353;beat-VI;Gycalpha99B;Med;RhoGAP100F;PlexA;DAAM;Pdfr;egh;w;N;Ptp4E;raptor;pod1;iav;Nf-YC;Smox;Moe;dsh;Ptp10D;bif;hep;Clic;mud;NetA;NetB;acj6;CG6867;Wnt5;CG34401;Vav;Cdc42;Nup205;run;slgA
neuron projection development	spen;kis;dock;capt;robo3;haf;erm;Rab5;daw;for;tutl;mid;bchs;chic;stai;mmy;eya;Liprin-alpha;smt3;Wnt4;SoxN;tai;gcm;gcm2;Pka-C1;Dref;CG44153;Pten;Cdk5alpha;Trim9;SCAR;ab;Rab6;nub;Tor;kuz;Sos;Arpc1;Cul3;beat-Ib;beat-Ic;beat-Ia;chif;dac;beat-IIIc;Oli;CadN;CadN2;amos;ham;tup;Nak;Lim3;brat;drl;CdGAPr;sick;bur;Ret;p120ctn;ap;Src42A;EcR;jing;Mob4;pk;Br140;Dscam1;Optix;pdm3;babo;Vang;Wnt2;eve;TER94;lola;stan;nompA;E(Pc);en;otk;Psc;Drl-2;Nrk;tum;CG6701;Prosap;conv;kn;chn;Hr51;unc-5;Ptp52F;Lis-1;Khc;Alk;RhoGEF2;Bap55;Patronin;sbb;ena;Toll-7;shg;dom;wrapper;jbug;retn;Chi;tsr;enok;nvy;Mmp1;Kr;Ptpmeg;nerfin-1;trio;Rac1;Ptp61F;Dbx;Spn;msn;spz5;Girdin;dar1;ago;NT1;Src64B;Dhc64C;Con;velo;vvl;Mp;Dscam2;frac;Ank2;pbl;Dscam4;Shc;nudE;E(z);ara;mirr;Ptp69D;sens;Liprin-beta;btl;D;fz;Toll-6;comm3;comm;sff;brm;Mbs;fax;Abl;Dab;CG9705;nudC;tap;Nedd4;ftz-f1;wnd;trc;gogo;ko;chb;Wnk;CG7166;Hem;Ten-m;CkIIalpha;Cont;Gnf1;Kat60;kra;kat-60L1;Pak;dpr11;grn;Poxm;pum;Scm;Fmr1;ninaG;sad;beat-Vc;beat-Va;beat-Vb;Abi;trx;put;Hsc70-4;Tm1;msps;Akt1;ss;Pak3;Fas1;GckIII;cher;beat-IIb;beat-IIa;Dscam3;14-3-3epsilon;fru;gukh;nos;sqz;Ire1;psidin;bon;Pi3K92E;RhoGAP93B;Sec15;Rab1;klg;sav;hh;cnc;beat-IV;spas;SMC1;CHORD;crb;tok;ssh;XNP;E(spl)m8-HLH;spz;side;CG34353;beat-VI;WASp;hdc;wts;Med;RhoGAP100F;PlexA;Actbeta;pho;G9a;DAAM;futsch;usp;egh;N;lva;Ptp4E;raptor;pod1;Nf-YC;sn;fs(1)h;CG2116;Smox;oc;Moe;CG42797;spri;Imp;Dlic;dsh;Ptp10D;bif;CG12717;hep;CG11584;mud;NetA;NetB;acj6;Efhc1.1;Rok;CG32564;RhoGAPp190;CG6867;Wnt5;CG34401;Ulp1;rictor;Vav;Cdc42;RunxA;run
cell part morphogenesis	spen;kis;dock;capt;robo3;haf;erm;Rab5;daw;for;tutl;mid;chic;mmy;eya;Liprin-alpha;smt3;Wnt4;SoxN;tai;gcm;gcm2;Dref;CG44153;Cdk5alpha;Trim9;SCAR;ab;Rab6;nub;Tor;kuz;Sos;Arpc1;Cul3;beat-Ib;beat-Ic;beat-Ia;heix;chif;dac;beat-IIIc;Oli;CadN;CadN2;amos;ham;tup;Nak;Lim3;brat;drl;CdGAPr;sick;bur;p120ctn;ap;Src42A;EcR;jing;Mob4;pk;Br140;Dscam1;Optix;pdm3;babo;Vang;Wnt2;eve;TER94;lola;stan;nompA;E(Pc);en;ths;otk;Psc;Drl-2;Nrk;tum;CG6701;Prosap;Hsc70-5;conv;kn;chn;Hr51;unc-5;Ptp52F;Lis-1;Khc;Alk;RhoGEF2;Bap55;sbb;ena;Toll-7;shg;dom;wrapper;jbug;retn;Chi;tsr;enok;nvy;Letm1;Kr;Ptpmeg;nerfin-1;trio;Rac1;Ptp61F;Dbx;msn;spz5;Girdin;dar1;ago;NT1;Src64B;Dhc64C;velo;vvl;Mp;Dscam2;frac;Ank2;pbl;Dscam4;Shc;nudE;E(z);ara;mirr;Ptp69D;sens;Liprin-beta;btl;D;fz;Toll-6;comm3;comm;sff;brm;Mbs;fax;Abl;Dab;CG9705;nudC;tap;Nedd4;ftz-f1;wnd;trc;gogo;ko;chb;Wnk;CG7166;Hem;Ten-m;CkIIalpha;Cont;Gnf1;kra;kat-60L1;Pak;dpr11;grn;Poxm;pum;Scm;Fmr1;ninaG;sad;beat-Vc;beat-Va;beat-Vb;Abi;trx;put;Hsc70-4;Tm1;msps;ss;Pak3;Fas1;GckIII;cher;beat-IIb;beat-IIa;Dscam3;htl;14-3-3epsilon;fru;gukh;nos;sqz;bnl;Ire1;psidin;bon;Pi3K92E;RhoGAP93B;Sec15;Rab1;klg;sav;hh;cnc;beat-IV;spas;SMC1;crb;tok;ssh;XNP;E(spl)m8-HLH;spz;side;CG34353;beat-VI;WASp;hdc;wts;Med;RhoGAP100F;PlexA;Actbeta;pho;G9a;DAAM;futsch;usp;egh;N;lva;Ptp4E;raptor;pod1;Nf-YC;sn;fs(1)h;CG2116;Smox;oc;Moe;CG42797;spri;Dlic;dsh;Ptp10D;bif;CG12717;hep;CG11584;mud;NetA;NetB;acj6;Efhc1.1;Rok;CG32564;RhoGAPp190;CG6867;Wnt5;CG34401;Ulp1;rictor;Vav;Cdc42;RunxA;run
epithelial cell differentiation	spen;kis;AP-2alpha;MED15;S;cpb;aop;Rab5;dpp;daw;toc;Mad;ed;ft;Traf4;Cf2;H15;mid;Hsp60C;Tsp26A;stai;eya;smt3;wg;Rbsn-5;tai;me31B;Pten;pim;da;ab;bun;kuz;rk;ck;CycE;cact;chif;squ;qua;kel;fs(2)ltoPP43;spir;Fs(2)Ket;dimm;tsh;tio;cta;rl;gus;EcR;jing;geminin;mim;pk;cos;tor;sax;lig;Cul4;Vang;Rme-8;Not1;clos;Uba1;Prosalpha7;RanBPM;sha;Dp;drk;mip120;RN-tre;mam;phyl;aPKC;hbs;CG8155;dup;Lis-1;Khc;RhoGEF2;grh;fj;ena;mip40;par-1;hpo;18w;PCNA;shg;stl;apt;Ssrp;tsr;yki;zip;Ptpmeg;mwh;Rac1;Mrtf;armi;Cip4;Src64B;Dhc64C;vn;tow;Galphai;RecQ4;Cbl;mfr;Shc;CalpB;nudE;rols;mirr;Klc;flr;btl;Sox21a;fz;shd;mop;RhoGAP71E;Mbs;Abl;sina;trc;kug;in;zye;fng;mael;alpha-Cat;Parp;CG41099;hd;kra;CG1077;M1BP;neur;Ras85D;Scm;pic;yrt;rin;Abi;kibra;jvl;Hsc70-4;spn-E;GATAe;Abd-B;Pxd;cher;Pxt;Dl;psidin;cic;Stat92E;Pi3K92E;Sec15;Rab11;slmb;tin;Burs;tsl;CASK;mats;loco;hh;orb;mbc;Rab7;Tsc1;Apc2;crb;polybromo;sosie;scrib;Mtl;fkh;WASp;Apc;neo;Cad99C;Axn;wts;dco;Gprk2;mey;nyo;Med;ttk;Crk;sc;Rbf;fs(1)N;mip130;usp;csw;ph-p;egh;fs(1)Yb;N;Rala;CG15571;Femcoat;Muc4B;ovo;spoon;fs(1)M3;Spt6;Rpt4;Mcm6;sn;cyr;slpr;Cp7Fa;Cp36;Dsor1;nej;spri;dsh;hop;Evi5;m;fw;Smr;CG32642;Mur11Da;CG15721;CG12716;hep;jub;Muc12Ea;Myb;kat80;Rok;baz;f;par-6;phm;Cyp18a1;Pvf1;Vav;Tao;dome;Cdc42;Rab35
wing disc development	net;spen;kis;ebi;S;capt;cpb;Su(dx);Rab5;dpp;Duox;lilli;Chd1;Mad;bowl;ed;ft;PDZ-GEF;wg;Wnt6;chm;Rack1;mts;Rbsn-5;Btk29A;d;Pka-C1;lft;Nup154;ab;salr;salm;crol;Plzf;CG16884;Su(H);ck;Cul3;esg;CycE;qua;Irk3;tup;Ddc;step;tsh;rl;gus;Nipped-A;sxc;ap;Src42A;EcR;jing;Bap170;pk;cos;sax;nito;lin;babo;magu;lola;psq;sha;inv;en;Sin3A;sca;vg;drk;mam;cg;Sox15;Asx;kn;Hr51;Poxn;CG8405;RhoGEF2;cnk;fj;sbb;par-1;shg;cpa;dom;cv-2;dve;px;wmd;Galphas;Chi;tsr;Nop60B;pio;Dll;zip;mwh;Rac1;CG32301;Mrtf;nab;Cip4;vn;ple;tow;nmo;msk;Cbl;Gug;Doc1;CG4477;Shc;RasGAP1;eyg;ara;caup;mirr;flr;nuf;fz;brm;Notum;Mbs;Nedd4;Ndfip;MYPT-75D;CG14073;Mkp3;trc;Su(Tpl);in;CG11399;fng;skd;Wnk;CG1943;Ada2b;pyd;neur;hyx;CG8149;Ras85D;hyd;CG31406;jumu;Mrp4;Cyp9f2;Snx3;CtBP;pic;mor;Sb;tara;osa;14-3-3epsilon;fru;fray;Dl;Hs6st;cic;Stat92E;H;AnxB9;how;hh;unk;Irk1;EloA;Rab7;puf;tok;tld;tnc;CG5890;scrib;Ser;Mtl;Dr;RpS28a;Axn;dco;Gprk2;pygo;Med;heph;lgs;zfh2;fuss;G9a;svr;CG13366;arm;N;bi;ctp;dx;Dok;sn;Smox;dsh;hop;Drak;Amun;m;dy;pot;fw;sno;Set2;tay;Stim;disco-r;Pp2B-14D;Rok;mthl1;f;upd3;Hs3st-B;dome;Cdc42;parvin
mitotic cell cycle	l(2)gl;CG3436;AP-2alpha;Rab5;Drp1;toc;Mad;Bub1;CG14020;Cap-D3;Lam;CG7236;chic;Rca1;Wee1;SA;smt3;Mnn1;cdc14;mts;Su(var)205;aust;borr;Cks30A;pim;cmet;cana;crol;Tor;Sos;Su(H);CycE;CG18109;twe;Syx5;fzy;grp;glu;CG31802;Grip71;gammaTub37C;Top2;barr;lok;Fs(2)Ket;del;E2f2;Mcm10;rl;Nipped-B;Nipped-A;BubR1;Act42A;geminin;Mob4;Eb1;Incenp;dpa;Orc1;scra;U2A;dpn;pnut;stmA;ana2;babo;dap;Orc6;TER94;san;Mtor;MCPH1;pds5;SmD3;Sin3A;vg;Psc;Cap-G;Dp;cid;mars;tum;Ctf4;Asx;Su(var)2-HP2;SMC2;aPKC;dup;Lis-1;Bap55;Patronin;sub;thr;prod;PCNA;plu;PTP-ER;Rae1;CycB;ord;mi;CG30183;DNA-ligI;fzr2;tsr;CG11414;zip;Ptp61F;Non2;CycJ;RfC4;pav;ago;Claspin;Dhc64C;mad2;Rcc1;ssp6;CG32396;Mis12;Cdc27;eco;lark;CG7716;pbl;RecQ4;CG43163;Cdc6;Klp67A;alphaTub67C;SH3PX1;nbs;RasGAP1;nudE;E(z);CycA;vih;sti;caup;Syx13;CG10738;endos;RecQ5;gnu;Msh6;brm;Capr;polo;DNApol-alpha60;trbl;knrl;kni;chb;pzg;Pc;Rpn10;Arf79F;Chro;CkIIalpha;vtd;tacc;Hus1-like;cno;Kat60;PEK;CG2104;alphaTub84B;Sas-4;alphaTub84D;Cenp-C;bel;Cks85A;pum;HP1e;betaTub85D;rump;dmt;alphaTub85E;PpD3;Fmr1;tws;Tctp;Blm;Aos1;Spc25;Hrb87F;B52;CG9286;eff;Rrp6;spn-E;mor;msps;CG14891;cal1;cher;CG7794;14-3-3epsilon;Dlc90F;gwl;Dl;Sep2;Pi3K92E;Synd;slmb;Rab1;DNApol-alpha180;hh;Cdc16;spas;Syx1A;Apc2;asp;CycB3;Mink;ssh;ball;Ser;l(3)mbt;CG5003;larp;Slbp;stg;Bub3;ncd;wts;gammaCOP;CycG;Map205;ac;sc;ase;Rbf;mus81;CDC45L;Ocrl;csw;ph-d;ph-p;wapl;Klp3A;Zw10;fs(1)Ya;N;ctp;Cdk7;Act5C;CG5921;raptor;PpV;APC7;Smox;Moe;Dsor1;ric8a;nej;PPP4R2r;Hmr;feo;Klp10A;Ran;Dlic;dsh;PhKgamma;wisp;Smr;mus101;jub;mud;Grip128;CG8509;Myb;CycD;Rok;Sep4;Sap30;baz;CG8188;CG8173;CG15056;Grip84;Rab35;Pp4-19C;Sep1
establishment or maintenance of cell polarity	l(2)gl;ds;S;capt;aop;Sec24CD;Rab5;fred;ed;ft;mts;Rbsn-5;d;Pka-C1;Rab6;BicD;CadN;CadN2;cta;Eb1;pk;lig;ana2;Ggamma1;Vang;lola;stan;sca;Dp;Shroom;Lap1;aPKC;hbs;Khc-73;Lis-1;Khc;grh;fj;sano;rib;par-1;TBCB;sktl;shg;mago;egl;tsr;zip;mwh;Rac1;Patj;Dhc64C;Galphai;nmo;msk;Cbl;Shc;nudE;CG5964;Klp68D;prc;ara;caup;mirr;fz;sff;CG6664;kug;chb;Syx7;mael;alpha-Cat;Parp;Cont;cno;Sgt1;pyd;osk;Ras85D;tws;Csk;svp;yrt;rin;CG9286;rdx;Abi;jvl;CG45105;msps;gish;14-3-3epsilon;Dl;AnxB9;Rab11;slmb;CASK;loco;CG45049;cnc;orb;Apc2;crb;asp;scrib;ro;Mtl;btz;Apc;dco;heph;csw;egh;N;Rala;ec;ctp;spoon;Grip;sn;Moe;ric8a;nej;Klp10A;Ran;Kap3;dsh;hop;nod;fw;mud;Chc;Rok;baz;par-6;Vps4;rictor;Cdc42;parvin
head development	robo3;chinmo;erm;dpp;slp1;bchs;chic;gcm;ab;bun;wor;dac;brat;drl;bsh;tsh;tio;Nipped-B;EcR;jing;Dscam1;babo;unpg;ced-6;Uba1;eve;stan;en;MCPH1;fdl;Prosap;kn;Hr51;Lis-1;Mgat1;shg;apt;tsr;enok;Dll;Ptpmeg;trio;Src64B;Dhc64C;vn;vvl;S-Lap1;D;tap;ftz-f1;croc;alpha-Cat;tacc;cas;Dmtn;lab;pb;Dfd;ftz;Antp;hb;tgo;Fmr1;hh;cnc;SMC1;Apc2;asp;ssh;Apc;Dr;tll;pasha;Eph;ey;toy;ebo;vnd;DAAM;usp;PsGEF;cib;dhd;Smox;oc;btd;CkIIbeta;mud;exd;disco;mbt;RhoGAPp190;Tao
axis specification	l(2)gl;lwr;capt;dpp;bowl;slp1;chic;milt;Rbsn-5;Pka-C1;Ge-1;Rab6;cact;dl;BicD;Grip71;gammaTub37C;scw;spir;cad;rl;gus;pk;didum;tor;sax;lig;gcl;lin;clos;eve;TER94;psq;SmD3;bic;Dp;aPKC;Lis-1;krimp;Khc;cnk;stau;par-1;TBCB;exu;sktl;shg;mago;tud;twi;egl;zip;Kr;klar;dos;Hsp83;armi;enc;Dhc64C;Cbl;Shc;RasGAP1;D;pip;kni;mael;CkIIalpha;Parp;tub;lost;zen;bcd;Antp;hb;osk;pum;rump;Ras85D;Fmr1;glo;rin;jvl;Tm1;spn-E;msps;14-3-3epsilon;nos;Dl;mira;cic;Rab11;slmb;tsl;loco;hh;cnc;orb;Syx1A;tld;scrib;Tl;spz;btz;tll;Med;faf;heph;fs(1)N;csw;N;spoon;fs(1)M3;swa;fs(1)h;oc;Moe;Dsor1;CkIIbeta;tsg;lic;Grip128;Chc;Rok;baz;Mer;Rab35
glutamate receptor signaling pathway	Ir21a;GluRIIC;Ir25a;GluRIIA;GluRIIB;homer;Ir31a;clumsy;Ir40a;mtt;Prosap;Ir64a;GluRIA;GluRIB;Ir68a;Ir75a;Ir75b;Ir75c;Ir75d;CG32447;Nmdar1;Ir84a;Ir92a;GluRIIE;GluRIID;Ir93a;CG3822;boss;mGluR;CG11155;Nmdar2;Ir7c;Ir8a
cell projection assembly	BBS8;rempA;cpb;CG10874;CG13999;chic;PDZ-GEF;CG42366;SCAR;CG5142;CG5458;CG10859;Arpc1;Tektin-A;CG10839;CG31803;Dhc36C;btv;kon;CG15161;Arpc2;Oseg5;dtr;nompB;l(2)41Ab;mim;Nop17l;pnut;CG8800;dila;BBS4;aPKC;Cep89;CG17669;ena;Efhc1.2;CG9313;shg;cpa;CG15666;nsr;CG30259;CG3085;Klp59D;tsr;Rac1;Oseg4;Oseg2;Tektin-C;vn;BBS1;SH3PX1;CG5964;CCDC151;Zmynd10;btl;Abl;Galphaf;CG33052;kug;in;atk;CG10510;Hem;CG34425;CG17387;CG1126;kra;asl;Sas-4;Mst84Dd;Mst84Db;CG9492;Fmr1;CG6971;CG14367;Abi;CG3259;Tm1;CG4525;bnl;psidin;Sep2;CG15923;Cby;hh;CG13617;ana1;ssh;Mtl;DAAM;CG11448;PsGEF;N;unc-119;sn;CG1571;CG10958;CG15208;Myo10A;Klp10A;Kap3;Mks1;hep;Sep4;baz;par-6;Pvf1;Cdc42;parvin;Rab35;CG15456;unc;Sep1;tilB;CG17599
G protein-coupled receptor signaling pathway	GABA-B-R3;TrissinR;CG13995;homer;Dh31;CG44153;mthl15;Rh5;CG31760;ACXC;ACXB;ACXA;rk;GABA-B-R1;CG31750;Ac3;cta;CCHa2-R;CG1339;Dgk;mtt;CG8642;Ggamma1;stan;mthl13;CG13229;Dh44-R2;CG30054;CG17760;Dh31-R;Dh44-R1;inaC;CG15614;mthl4;CCHa1-R;5-HT1B;5-HT1A;ktub;CG30280;CG30281;CG43795;Galphas;CG13575;mAChR-A;CG13579;Nplp1;mthl9;mth;ACXD;CG32301;CG32305;MsR2;MsR1;FMRFaR;CG10359;Lkr;mthl2;CG32395;Galphai;mthl6;mthl7;Or67d;Rh7;CrzR;fz;Nplp3;CG43373;Galphaf;Mip;CG7497;AstC-R2;AstC-R1;sNPF-R;rdgC;Ac78C;CapaR;CG32447;Oct-TyrR;5-HT2A;NPFR;CG34384;mAChR-B;5-HT2B;Dh44;mthl11;TkR86C;Octbeta3R;Hug;PK2-R2;PK2-R1;PK1-R;Dop1R1;Crz;Rh6;Trissin;NPF;Eh;Lgr1;TyrRII;CG18208;Oamb;ETHR;SIFaR;GABA-B-R2;Octbeta1R;loco;CCAP;CG31140;AstA;Ets96B;Lgr3;CCAP-R;boss;RYa-R;AstA-R2;Dop1R2;Gycalpha99B;Dup99B;TkR99D;AdoR;5-HT7;CG11318;CG15556;stops;mGluR;CG4313;Pdfr;AstA-R1;Proc-R;SPR;fz4;Tbh;Gbeta5;ric8a;CG1889;sofe;hec;CG15744;mthl1;RSG7;CG33639;CG32547;CCKLR-17D1;CCKLR-17D3;CG42450;amn;Dop2R
leg disc development	al;Su(dx);Rab5;dpp;Mad;sob;odd;bowl;H15;mid;d;Sos;dac;tsh;rl;ap;jing;Bap170;pk;vg;Poxn;RhoGAP54D;fj;dve;tsr;Dll;trio;bab1;ru;l(3)psg2;vn;Gug;RhoGAP68F;RhoGAP71E;brm;ftz-f1;fng;skd;TfAP-2;Pak;rn;hyx;Ras85D;mor;ss;Ubx;osa;Dl;RhoGAP92B;lbl;lbe;C15;hh;polybromo;Ser;Med;lgs;N;ovo;dx;Lim1;btd;Sp1;dsh;hop;Drak;disco;B-H2;B-H1;RhoGAP16F;Cyp18a1;Hs3st-B;e(y)3;RhoGAP19D
